תעודת זהות, סטטוס,שם פרטי,שם משפחה,כתובת ,מיקוד,פלאפון, מייל,תאריך לידה  ,מקום לימודים בעבר,יחידה בצבא ,מקצוע ,סטטוס בית,שם האב  ,שם האם ,שם האישה ,שם משפחת האישה, פלאפון האישה,מקום לימוד האישה,מייל האישה , מעוניין בחברותא?, השתתף בימי העיון?,תמונה,תז קדמי,תז אחורי,ספח תז,actions
124562159,תלמיד,til,אלחנן,יורם,2,אלחנן,f@gmail.com,2023-06-06T00:00:00,איתן,חיל החינוך והנוער,איתן,דתי,אלחנן,אלחנן,,,,,,false,false,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
18,חייל,j,j,j,23,j,j,2023-05-06T00:00:00,lkj,lkj,lkj,lk,lkj,lkj,lkj,lkj,lkj,lkj,lkj,false,false,IMG_6361.JPG,,,,
2,תלמיד,aaa,qqq,q,5,q,q,2023-05-05T00:00:00,o,o,o,o,o,o,o,o,o,o,o,false,false,IMG_6361.JPG,,,,
21,תלמיד,משה,מלול,הרימון 75,254122,0526548125,145dr@gmail.com,2003-05-21T00:00:00,העמלים,חיל התותחנים הישראלי,הנדסאי מחשב,מסורתי,כרמל,ירדן,string,string,string,string,string,true,false,3O9A3654 מוקטן.jpg,[000001].jpg,[000001].jpg,[000001].jpg,
212121,חייל,f,f,f,11,wwww,ff,2023-05-14T00:00:00,f,www,www,ffww,f,f,ff,f,f,ff,f,true,true,בקעת הירח.jpg,,,,
212121221,חייל,ggg,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
213345621,תלמיד,til,til,t,7,t,t@gmail.com,2023-06-06T00:00:00,t,חיל החינוך והנוער,איתן,דתי,t,t,,,,,,false,true,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
214127649,תלמיד,אלחנן,אלחנן,אלחנן,4,44,vf@gmail.com,2023-05-22T00:00:00,אלחנן,חיל ההנדסה הישראלי ,אלחנן,מסורתי,אלחנן,אלחנן,,אלחנן,,,,false,false,[000001].jpg,[000001].jpg,[000001].jpg,[000001].jpg,
214127669,חייל,אריה,היל,דובדבן,7,22222222222,1@gmail.com,2023-05-05T00:00:00,בויאר,דובדבן,הנדסאי,מסורתי,ירון,ינטל,חן,חן,0552554565,סלע,1@gmail.com,true,true,IMG_6316.JPG,,,,
214565895,תלמיד,פפ,פפ,פפ,1,פפ,פ@gmail.com,2023-06-11T00:00:00,פפ,חיל ההנדסה הישראלי ,פפ,דתי,פפ,פפ,,,,,,true,true,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
216458954,חייל,איל,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,חיל המדע,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,3O9A3654 מוקטן.jpg,,,,
2165,תלמיד,אלחנן,יוספי,ש,4,ש,ש,2023-05-17T00:00:00,ש,ש,ש,ש,ש,ש,ש,ש,ש,ש,כ,false,false,[000001].jpg,[000001].jpg,[000001].jpg,[000001].jpg,
2222,חייל,חח,חח,,0,333,,2023-05-08T00:00:00,,,,חח,,,,,,,,false,false,IMG_6369.JPG,,,,
222222222,תלמיד,יורם,יורם,אלחנןiii,54,0222,"ddsfjjjjjjjjjjuylk,mt87lmy",2023-05-22T00:00:00,יעלההה,חיל המודיעין,איתן,איתן,אלחנןiii,יורם,"ddsfjjjjjjjjjjuylk,mt87lmy",אלחנןiii,אלחנןiii,יעלההה,איתן,false,false,IMG_6361.JPG,[000001].jpg,IMG_6062.JPG,IMG_6062.JPG,
23,תלמיד,חח,חח,חח,1,2,,2023-05-08T00:00:00,,,,חח,,,,,,,,false,false,IMG_6361.JPG,,,,
234,חייל,s,s,s,32,s,s,2023-05-24T00:00:00,s,ss,s,s,s,ss,s,s,ss,s,s,false,false,IMG_6369.JPG,,,,
235465985,תלמיד,אלחי,אלחי,אלחי,1,אלחי,g@gmail.com,2023-07-01T00:00:00,אלחי,חיל המודיעין,אלחי,דתי,אלחי,אלחי,,,,,,true,true,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
235668512,חייל,hola,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
245197645,חייל,ggg,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
2454,חייל,לירן,חושן,מצפה יריחו,2154,0529825418,LIRON@GMAIL.COM,2021-09-08T00:00:00,מעלה רמות,דובדבני,הנדסאי,מסורתי,משה,שירtל,אושר,כהן,0586598124,אוניברסיטה הפתוחה,OSHER@GMAIL.COM,true,true,IMG_6316.JPG,,,,
246157985,חייל,ggg,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
252525258,בוגר,איל,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,חיל הרפואה,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
252625298,תלמיד,jkmlmm,hju,nkl,265616,0526526598,36214127649@mby.co.il,2023-06-07T00:00:00,juijb,"ח,י,ל, ,ה,ח,י,נ,ו,ך, ,ו,ה,נ,ו,ע,ר",jop,מסורתי,mjlkn,kl;mk,,,,,,true,false,11.png,11.png,11.png,11.png,
258,חייל,ff,fff,,0,,,2023-05-04T00:00:00,,,,,,,,,,,,false,false,[000001].jpg,,,,
25811,חייל,יואב,string,string,0,string,string,2023-05-11T00:00:00,string,string,string,string,string,string,string,string,string,string,string,true,true,string,string,,,
321,חייל,חלעםוןל,q,q,1,q,q,2023-05-05T00:00:00,q,q,q,q,q,q,q,q,q,q,q,false,false,IMG_6361.JPG,,,,
325145625,חייל,אמיתי,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
3255,חייל,יעלוש,string,string,0,string,string,2023-05-11T00:00:00,string,string,string,string,string,string,string,string,string,string,string,true,true,string,string,string,string,
32556,חייל,ירדנה,לל,ל,41,ל,ל,2023-05-11T00:00:00,ל,ל,ל,ל,ל,ל,ל,ל,ל,ל,ל,false,false,IMG_6316.JPG,IMG_6369.JPG,IMG_6316.JPG,IMG_6316.JPG,
325565247,תלמיד,toolip,toolip,toolip,583201245,toolip,toolip@gmail.com,2023-06-20T00:00:00,toolip,"ח,י,ל, ,ה,ה,נ,ד,ס,ה, ,ה,י,ש,ר,א,ל,י, ",toolip,מסורתי,toolip,,,,,,,true,true,,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
356421579,חייל,ggg,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
4,בוגר,l,l,l,1,l,l,2023-05-06T00:00:00,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,ll,false,false,IMG_6369.JPG,,,,
44,חייל,p,p,p,2,p,p,2023-05-14T00:00:00,p,p,p,p,p,p,p,p,p,p,p,true,true,נחל_שורק.JPG,הקניון הלבן.jpg,דגל המדינה.png,דגל המדינה.png,
444,חייל,עמירן,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
45,בוגר,יוסי,סיטון,dd,22,dd,dd,2023-05-02T00:00:00,dd,ddd,ddd,d,dd,ddd,dd,d,d,dd,ddd,true,false,IMG_6316.JPG,,,,
454544454,תלמיד,hgfu,jji,gtsr,2574587,0255,36214127649@mby.co.il,2023-06-14T00:00:00,אלחנן,"ח,י,ל, ,ה,ח,י,נ,ו,ך, ,ו,ה,נ,ו,ע,ר",hgfd,חילוני,hgfsd,dd,,,,,,true,false,11.png,11.png,11.png,11.png,
4747,תלמיד,dd,d,d,65654,dd,d,2023-05-14T00:00:00,d,d,dd,d,d,d,dd,d,d,d,d,false,false,[000001].jpg,[000001].jpg,[000001].jpg,[000001].jpg,
5148,תלמיד,יורם,אלחנן,ראי,-2,+5,דארי,2023-05-22T00:00:00,אד,חיל החינוך והנוער,,קרטי,ט5אק4,,רי,ראי,איר,ריא,ראי,false,true,IMG_6062.JPG,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
516654789,תלמיד,משה,מימון,אלחנן,12,5,g@gmail.com,2023-05-22T00:00:00,אלחנן,חיל המדע,אלחנן,מסורתי,אלחנן,אלחנן,,,,,,false,false,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
5284555,חייל,עמירן,אפללו,האצל 17,124501,0515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,0529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
554118872,חייל,lilaloosh,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
555,חייל,אמיתי,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
555118872,חייל,lilaloosh,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
555222512,חייל,lilaloosh,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
555228512,חייל,lilaloosh,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
555228872,חייל,lilaloosh,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
5555555,תלמיד,אלחנן,איתן,איתן,78,אלחנן,יעלההה,2023-05-18T00:00:00,אלחנן,חיל החינוך והנוער,איתן,אלחנן,אלחנן,אלחנן,איתן,אלחנן,יעלההה,איתן,יורם,true,true,[000001].jpg,[000001].jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
555668512,חייל,lila,אפללו,האצל 17,12450,515472581,AMIRAN@GMAIL.COM,2023-05-03T00:00:00,אלומים,קרב,חשמלאי,חילוני, עופר,בינה,אושרת,כסיף,529458210,אוניברסיטה בר אילן,OSHRAT@GMAIL.COM,false,false,ברבור.jpg,,,,
5858,חייל,j,jj,j,11,j,jj,2023-05-14T00:00:00,j,jj,j,j,j,j,j,jj,j,j,j,false,false,[000001].jpg,[000001].jpg,[000001].jpg,[000001].jpg,
652124562,תלמיד,lolipop,lolipop,lolipop,1,0,lolipop@gmail.com,2023-06-20T00:00:00,lolipop,"ח,י,ל, ,ה,ח,י,נ,ו,ך, ,ו,ה,נ,ו,ע,ר",lolipop,דתי,lolipop,lolipop,,,,,,false,true,,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
656,חייל,w,w,w,0,w,w,2023-05-15T00:00:00,w,w,w,w,w,w,w,w,w,w,w,true,false,בקעת הירח.jpg,,,,
7,תלמיד,אילןlll,טוויטו,עוזיאל 60,1222,0583220506,641514@gmail.com,2023-05-05T00:00:00,בויאר,דובדבן,הנדסאי,מסורתי,ראובן,הילה,יעל,כוכבה שחר,0588954878,סלע,6527302@gmail.com,false,false,צילום מסך 2022-11-14 0055,,,,
768755666,תלמיד,tovi,אלחנן,g,6,g,6@gmail.com,2023-06-06T00:00:00,6,חיל ההנדסה הישראלי ,6,דתי,6,6,,,,,,false,false,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,3O9A3654 מוקטן.jpg,
7894,תלמיד,w,w,w,44,w,w,2023-05-15T00:00:00,jg,w,w,w,w,w,w,w,w,w,ww,true,true,[000001].jpg,,,,
875,חייל,ח,ח,ח,12,ח,חח,2023-05-08T00:00:00,ח,ח,כ,ח,ח,ח,ח,ח,ח,חח,ח,false,false,Cndy_bar.jpg,,,,
9855,חייל,www,www,www,3,www,w,2023-05-14T00:00:00,w,w,w,w,w,w,w,w,w,w,w,true,true,דקלי דום עין עברונה.jpg,דקלי דום עין עברונה.jpg,בקעת הירח.jpg,דקלי דום עין עברונה.jpg,
